reward,game_length
200,502
290,487
150,329
300,611
600,682
170,480
270,484
310,491
170,479
270,476
200,485
290,435
290,448
270,481
220,574
210,429
510,661
460,553
960,629
180,516
350,653
320,678
330,676
1760,535
500,568
980,729
140,337
690,663
480,576
330,386
190,644
250,583
670,712
190,640
840,668
380,590
370,778
180,634
190,499
180,580
380,498
220,618
380,613
210,501
230,672
180,625
180,639
430,628
780,629
260,624
380,684
140,498
500,587
200,412
140,477
900,786
180,516
340,614
180,660
180,530
810,598
110,536
80,403
180,592
380,677
380,515
360,643
200,626
190,619
790,613
780,653
380,609
380,620
110,536
380,515
180,566
380,638
380,662
780,477
110,469
780,597
180,542
180,634
380,513
240,634
390,525
110,535
390,710
390,685
170,539
550,548
780,587
380,651
290,536
360,663
220,315
790,732
120,375
230,447
180,820
90,352
330,541
180,783
230,869
780,734
420,645
560,683
120,340
400,678
180,558
230,575
380,614
380,614
230,609
300,492
140,367
1010,689
830,745
380,568
860,527
630,905
230,599
200,641
380,610
400,622
180,639
540,663
390,673
380,591
420,403
170,585
450,685
60,408
780,635
380,511
450,630
380,683
90,356
410,561
180,648
430,709
310,674
180,534
490,709
110,336
180,527
790,643
320,488
340,509
380,656
420,721
310,519
180,558
260,666
300,669
330,478
180,513
410,594
180,662
380,531
460,658
180,677
240,491
220,528
440,714
120,469
350,872
190,594
430,664
200,805
180,558
210,600
380,575
380,615
780,639
180,541
780,643
380,670
430,549
440,740
430,706
180,558
1610,738
520,743
450,672
180,703
180,562
380,631
810,712
900,538
110,354
320,664
450,657
500,739
870,684
220,496
900,749
400,621
830,621
320,618
300,537
130,407
180,479
240,528
430,609
660,579
500,801
430,601
460,617
560,611
570,682
290,515
430,619
900,581
800,536
370,814
500,690
450,644
500,474
140,355
250,556
1090,643
260,740
510,724
840,608
230,662
550,742
1000,720
430,523
530,543
470,645
200,668
830,554
220,573
230,560
190,491
240,598
570,781
210,641
820,718
380,652
370,809
400,508
780,650
140,479
830,625
420,494
860,687
850,769
130,339
380,638
380,590
1620,615
280,385
650,602
1630,756
260,411
210,557
260,564
260,617
300,746
270,631
410,538
190,393
400,593
220,639
300,849
330,654
220,510
630,655
530,679
410,669
100,336
880,781
410,741
390,687
910,631
870,586
500,627
180,493
1020,700
440,624
350,555
380,378
440,525
240,641
460,671
440,564
930,634
230,702
380,513
480,647
370,468
410,773
270,600
190,682
330,806
850,643
230,582
910,649
830,580
210,524
250,452
180,460
110,366
1230,648
200,604
190,675
1120,862
190,375
380,579
410,699
810,869
330,636
200,585
480,544
270,639
440,822
810,588
520,617
500,779
260,664
700,644
320,572
470,817
300,790
630,579
480,701
250,547
350,800
490,852
390,471
440,520
290,646
420,500
230,435
270,600
890,585
810,793
450,610
190,572
230,491
440,552
380,623
420,526
390,814
500,586
730,811
790,676
630,596
400,542
610,641
1130,862
460,536
530,621
420,420
230,554
220,614
330,615
250,698
380,626
1230,913
340,646
410,581
430,520
230,790
210,542
410,489
230,608
70,346
430,618
180,488
470,632
500,636
900,686
840,768
460,576
400,526
330,554
450,544
1660,673
890,592
680,879
860,706
820,558
160,337
240,498
640,711
200,565
620,657
430,625
240,632
190,540
210,580
580,761
220,599
180,549
200,584
540,604
70,395
810,828
310,600
630,718
140,457
610,655
140,419
110,435
790,570
900,629
190,503
670,909
1080,795
400,632
670,734
200,690
460,747
520,654
230,617
380,609
260,501
590,678
490,829
400,565
250,614
290,509
250,352
180,558
180,517
390,700
270,643
520,626
420,460
440,584
790,977
560,638
620,750
260,394
400,519
250,578
410,491
280,687
790,567
390,690
830,718
400,469
510,636
210,560
100,336
480,636
230,319
980,763
130,399
210,668
300,780
430,649
270,722
190,362
620,683
410,559
450,464
290,700
430,736
710,611
190,608
660,689
280,624
660,667
530,664
380,537
420,602
400,519
420,558
410,763
440,576
280,518
190,611
970,579
300,669
310,373
440,692
380,647
180,553
570,627
590,678
280,624
180,433
180,575
180,680
870,572
550,682
300,573
420,558
650,740
330,672
270,579
190,426
570,743
530,676
400,627
550,699
550,648
630,760
220,525
120,427
790,549
400,573
590,702
510,653
200,680
250,545
240,483
260,548
390,640
240,404
700,562
810,497
430,682
1650,563
710,538
1060,828
200,636
470,570
180,572
380,716
320,655
250,592
270,438
260,685
390,459
550,670
640,704
430,698
470,813
390,606
490,636
390,503
270,583
450,647
230,797
400,704
230,552
460,538
770,836
140,370
420,708
350,617
430,516
790,872
240,502
380,477
940,622
580,836
230,715
420,578
190,678
1800,752
470,571
430,650
400,508
350,659
410,670
330,538
290,500
110,333
490,879
380,604
280,951
320,709
250,382
300,589
790,569
450,631
460,649
240,585
910,655
440,549
660,644
1730,556
150,434
300,565
220,544
380,622
210,548
510,591
270,396
390,468
550,695
250,671
370,689
630,680
680,689
410,579
430,527
240,640
260,509
230,639
340,619
590,588
240,460
820,670
590,678
360,635
180,564
980,730
270,679
500,612
690,726
440,712
730,777
280,502
830,726
520,543
540,714
270,661
440,537
180,557
870,713
660,674
330,584
470,539
440,564
480,721
210,580
650,709
550,640
180,485
810,650
430,786
500,993
180,582
890,663
590,558
300,567
260,530
740,786
820,507
470,615
140,431
520,550
820,678
260,838
500,642
230,541
210,554
380,661
430,611
410,577
620,685
910,690
1030,725
490,512
250,571
190,628
590,636
460,628
240,889
330,592
210,508
730,771
440,548
260,557
410,617
440,521
620,624
790,607
390,595
480,704
210,420
160,350
190,534
190,629
310,425
370,775
460,635
520,565
130,445
460,577
340,435
410,746
240,612
410,669
450,609
220,667
640,756
390,651
350,578
380,513
270,1046
200,505
500,623
480,562
270,460
220,665
200,721
400,805
430,484
430,669
230,676
880,609
400,762
500,558
400,432
280,573
410,645
210,400
330,667
560,571
390,571
470,674
270,639
460,759
450,531
460,873
290,620
240,363
460,588
60,401
200,921
630,824
420,457
830,689
910,691
230,554
260,526
280,555
430,655
220,691
530,583
300,379
380,644
380,593
400,633
830,626
910,580
250,615
340,595
520,665
200,492
600,598
850,569
430,786
460,547
230,825
480,751
1020,668
400,535
230,562
430,613
190,459
560,581
210,845
460,588
270,554
640,721
300,622
270,584
230,556
410,606
160,402
490,647
540,726
510,664
230,381
500,671
420,507
300,577
220,664
830,625
400,616
330,680
250,488
140,374
370,523
490,619
560,700
240,637
100,287
460,786
310,658
200,509
990,707
610,760
70,313
450,641
500,571
900,639
240,590
1650,674
1220,711
510,459
500,678
310,713
520,616
180,485
400,599
840,764
820,595
590,638
820,988
510,634
540,704
400,641
680,658
430,627
300,444
790,671
680,838
260,654
510,568
490,627
820,620
440,818
320,589
620,608
500,1005
310,614
1600,664
630,870
570,700
180,467
140,469
180,519
580,573
390,564
150,460
390,632
550,703
270,650
290,577
430,657
220,669
750,910
240,519
350,557
100,326
310,729
520,626
590,619
300,621
230,385
680,820
460,660
1700,618
390,676
160,400
470,646
800,509
810,694
470,637
390,665
120,340
400,588
790,566
1170,679
440,726
260,607
940,569
470,779
470,566
220,425
260,424
440,772
110,427
520,629
1190,813
460,711
1330,881
260,614
220,410
260,677
310,592
470,627
