reward,game_length
170,423
460,657
280,372
240,529
240,472
340,516
230,430
340,572
280,480
200,497
210,462
160,476
230,574
300,458
330,521
130,479
210,524
170,427
420,593
260,521
210,420
200,460
250,651
240,478
300,505
250,478
370,739
370,724
290,497
590,716
440,539
200,392
380,527
200,452
310,513
320,581
290,877
290,513
650,695
300,560
270,580
220,560
240,610
290,501
290,515
240,632
200,464
270,727
300,716
190,536
260,791
360,522
360,515
550,742
290,567
550,710
260,507
240,650
1000,1005
300,508
550,606
260,540
210,750
300,502
310,520
270,653
300,490
220,519
430,623
240,576
280,561
300,603
320,581
410,814
290,471
260,543
240,520
220,595
470,593
270,531
190,513
460,866
290,513
360,461
250,512
280,515
280,518
340,498
280,525
340,600
270,481
360,508
570,874
350,648
290,556
250,419
270,580
300,630
300,525
300,494
280,448
540,781
290,483
250,520
380,550
280,548
300,719
200,370
270,488
240,483
280,518
240,441
170,452
350,521
260,590
310,655
260,486
230,497
370,795
280,514
230,496
310,840
290,707
610,1300
320,686
250,455
350,575
360,822
310,484
310,549
610,633
320,486
300,539
280,607
280,502
340,594
330,629
240,565
270,527
280,647
190,591
890,691
360,616
280,494
300,626
320,544
240,430
270,420
250,585
260,435
320,524
290,514
300,676
310,502
350,758
330,542
310,686
350,546
300,502
270,539
520,638
300,899
340,686
320,560
260,470
310,589
200,422
210,583
240,502
220,481
290,633
250,520
420,586
290,528
230,412
300,562
320,478
230,492
320,499
220,531
1000,755
270,506
270,550
270,531
1790,765
220,542
390,707
300,454
270,662
590,907
270,518
630,721
270,506
310,593
230,524
320,484
940,722
210,475
300,507
260,515
280,519
220,571
310,522
530,744
240,476
280,501
220,442
540,881
320,700
170,474
300,827
290,651
310,547
280,623
260,662
290,490
350,625
270,475
370,740
240,474
280,611
320,516
180,502
230,536
250,578
320,501
260,498
260,485
320,559
340,570
330,601
300,477
340,521
260,513
350,762
280,572
260,508
260,526
300,736
180,503
250,532
290,503
420,621
350,580
240,467
270,525
190,546
200,553
320,515
250,504
320,768
250,758
550,677
360,619
290,505
300,601
610,681
200,485
360,747
1060,966
280,575
270,785
290,550
270,489
370,676
330,546
670,695
340,593
300,496
300,443
260,540
280,527
260,458
360,530
340,645
270,482
310,726
380,780
260,572
270,478
310,507
370,554
340,572
410,669
300,424
300,517
240,715
280,444
250,496
300,508
280,543
460,574
290,646
220,537
280,506
260,516
240,652
480,609
260,542
240,651
330,673
220,548
270,462
310,791
360,628
300,491
160,449
210,534
230,564
330,505
530,797
310,600
190,513
260,480
330,461
320,443
280,539
400,705
310,607
200,525
390,722
280,516
250,509
310,893
940,632
520,811
350,695
200,481
290,508
330,460
550,620
200,539
610,717
600,634
330,535
170,441
620,854
220,491
290,521
250,511
300,591
320,611
250,409
390,554
260,480
260,534
360,615
290,537
270,525
270,498
300,480
310,545
280,505
280,583
290,669
330,786
330,720
470,829
460,631
320,846
210,457
300,580
340,694
300,513
950,739
270,504
330,563
970,829
260,437
240,491
300,544
270,496
190,539
270,559
310,544
400,786
220,523
310,519
270,823
210,522
390,831
180,537
200,515
270,509
250,469
270,441
300,567
250,508
250,409
310,674
310,608
280,590
350,691
300,508
270,509
1720,724
200,454
580,712
290,522
260,470
340,515
240,562
400,677
970,691
270,510
330,561
380,543
280,446
190,523
320,462
210,558
290,493
520,527
380,580
270,558
260,493
290,637
300,512
310,514
250,638
230,500
360,586
260,504
240,433
290,531
240,525
290,568
180,424
330,499
940,764
490,670
340,687
270,477
210,553
400,729
320,503
320,515
290,528
330,594
240,486
400,784
370,510
510,815
230,503
190,449
360,508
300,489
300,506
300,430
320,508
220,500
320,679
350,487
290,575
570,673
280,502
310,556
340,720
400,668
520,730
550,764
220,561
330,486
300,472
530,594
290,465
230,459
630,996
360,496
270,518
310,566
300,493
260,514
170,560
270,542
260,503
270,537
350,811
680,842
240,471
260,467
290,482
380,818
270,502
240,654
310,453
1030,646
260,521
590,684
210,509
300,565
380,695
340,535
360,658
370,681
370,719
230,533
260,467
550,734
280,511
230,409
250,532
330,476
480,688
270,523
370,727
280,540
280,475
310,532
220,613
240,418
290,553
240,551
250,540
260,491
290,669
560,676
310,547
330,509
460,600
250,452
500,611
290,521
340,549
560,808
290,502
190,522
250,573
330,647
340,518
280,589
270,504
300,530
320,448
220,458
340,532
210,531
360,741
450,580
260,532
240,624
360,747
380,658
270,551
300,513
320,550
380,592
170,461
260,517
290,521
280,481
190,489
330,631
300,609
580,664
570,666
240,409
310,551
590,663
290,673
260,564
260,557
190,495
510,573
250,517
230,477
220,510
320,539
250,471
280,498
250,489
320,563
300,614
350,581
270,556
350,481
290,542
290,536
340,609
320,490
550,581
590,703
310,621
350,512
310,615
300,933
490,692
400,697
320,539
300,688
250,482
380,750
250,501
280,588
350,600
280,484
430,747
550,596
240,560
1680,680
310,493
290,640
370,813
240,541
300,493
280,593
320,475
270,595
290,497
220,470
310,693
310,453
210,492
250,558
250,477
270,505
220,498
440,636
350,461
250,542
220,505
260,573
280,466
300,495
240,473
450,850
300,558
230,501
360,524
260,677
260,562
220,421
320,489
240,419
300,555
210,531
570,634
520,677
270,472
350,757
300,527
250,483
250,458
360,574
350,536
270,561
270,509
230,571
280,479
510,823
270,462
260,745
340,445
260,562
290,559
280,589
170,510
210,467
230,501
230,481
250,602
310,634
230,545
250,462
340,523
320,571
950,729
290,621
380,432
370,509
580,743
260,554
260,465
270,583
250,512
360,526
320,655
290,633
300,632
220,575
340,533
590,657
280,505
680,1066
310,599
400,704
300,422
560,600
310,505
320,514
330,482
270,663
230,571
220,571
320,576
270,683
270,592
310,569
290,425
290,579
280,527
210,515
290,464
360,754
240,500
500,570
260,498
240,424
310,448
240,581
300,812
520,644
230,661
260,562
270,472
310,642
230,439
360,549
270,477
270,532
510,682
290,684
590,1028
320,854
690,822
570,719
250,507
290,504
300,549
530,584
280,876
310,499
350,639
340,505
440,789
260,529
250,515
300,448
370,790
280,526
580,689
290,480
570,680
240,543
300,685
280,634
320,480
210,572
320,783
230,437
440,737
240,629
330,628
230,567
270,525
240,772
320,622
530,681
220,485
210,426
250,672
320,511
260,489
260,404
210,481
390,753
280,520
270,516
560,697
320,557
490,657
330,511
490,798
290,443
240,434
210,484
260,553
320,506
280,442
320,508
150,491
260,520
370,535
190,450
340,648
350,485
250,527
280,491
200,591
360,516
250,407
260,583
270,408
340,615
320,563
270,430
230,554
530,709
290,525
260,495
580,829
260,434
220,508
170,443
490,602
360,667
320,703
300,525
370,1065
240,439
190,496
200,502
310,543
340,586
300,480
210,475
300,532
490,628
290,463
330,746
330,614
240,438
260,473
340,490
250,559
370,568
240,503
250,587
970,665
310,638
320,644
200,508
310,532
300,556
270,484
310,600
270,514
200,513
300,497
420,708
320,527
320,576
180,571
240,585
320,554
310,517
260,426
340,540
590,563
550,604
280,430
240,508
240,588
290,448
530,677
280,517
340,639
350,738
250,652
260,551
170,408
300,512
270,489
270,547
300,617
580,718
280,499
320,451
490,612
310,534
360,523
220,383
290,486
300,474
380,759
350,780
360,679
510,656
550,779
320,716
350,616
290,524
280,495
320,832
290,539
280,507
340,886
260,752
300,496
260,544
310,528
290,467
230,497
190,529
220,587
240,457
390,636
360,664
310,509
320,596
260,508
230,535
280,538
300,718
240,457
250,509
320,534
600,726
240,466
280,600
220,453
270,478
290,606
340,629
270,530
290,470
310,534
240,499
950,639
270,631
690,900
330,490
310,576
250,551
260,468
260,543
280,543
270,539
210,510
320,715
230,500
230,502
320,438
260,476
350,839
620,907
210,474
350,687
290,504
230,506
190,395
500,677
400,604
350,646
420,732
340,613
260,528
250,504
310,537
350,671
270,550
500,594
340,537
330,426
310,532
290,437
250,660
250,513
320,597
230,430
410,647
380,654
350,558
300,642
330,680
290,528
300,493
280,516
250,563
290,505
370,703
380,614
260,610
250,487
240,591
290,505
220,599
350,777
420,838
380,562
290,523
230,491
300,504
200,432
550,702
220,707
240,425
280,678
290,491
240,527
280,534
1750,696
460,632
270,516
270,561
340,1136
330,497
270,807
290,553
320,554
290,646
280,521
290,810
260,671
300,503
270,420
300,507
260,628
250,583
360,766
270,522
970,649
290,501
280,532
560,617
230,475
330,617
950,716
250,479
250,575
380,589
240,540
360,683
240,485
560,618
250,538
200,552
260,669
270,477
300,621
400,781
240,550
340,526
300,492
290,501
360,729
300,769
360,511
340,475
290,519
300,539
280,626
570,829
630,664
320,520
380,691
510,691
290,588
280,702
290,651
260,544
240,522
630,719
350,531
300,578
270,605
280,536
310,557
290,513
310,502
280,503
320,494
250,452
560,690
300,615
220,456
280,613
350,696
200,528
250,452
180,454
510,747
350,665
570,1047
380,793
240,468
290,507
270,450
500,853
970,763
260,489
340,767
310,494
200,458
190,537
350,520
200,708
900,729
980,669
170,488
180,519
250,565
170,349
290,520
360,629
290,543
300,441
300,470
350,517
290,520
270,399
540,652
220,505
480,653
270,557
250,666
280,431
290,552
260,498
260,521
200,538
370,702
370,666
350,640
240,509
270,482
220,519
290,667
250,455
340,804
300,675
320,596
320,561
280,508
280,547
240,489
230,592
310,481
320,643
490,641
220,437
300,486
210,523
320,496
380,485
410,715
