"Step","effortless-fog-273 - total_reward_actor_0","effortless-fog-273 - total_reward_actor_0__MIN","effortless-fog-273 - total_reward_actor_0__MAX"
"0","160","160","160"
"13","200","200","200"
"20","160","160","160"
"30","130","130","130"
"40","180","180","180"
"50","260","260","260"
"60","170","170","170"
"70","340","340","340"
"79","370","370","370"
"88","90","90","90"
"109","200","200","200"
"146","190","190","190"
"180","390","390","390"
"214","330","330","330"
"248","290","290","290"
"282","320","320","320"
"299","280","280","280"
"333","230","230","230"
"384","590","590","590"
"418","350","350","350"
"452","310","310","310"
"484","280","280","280"
"520","210","210","210"
"554","170","170","170"
"588","320","320","320"
"622","250","250","250"
"658","190","190","190"
"690","260","260","260"
"724","170","170","170"
"758","270","270","270"
"802","300","300","300"
"824","120","120","120"
"856","170","170","170"
"894","250","250","250"
"928","280","280","280"
"962","300","300","300"
"996","190","190","190"
"1030","360","360","360"
"1047","240","240","240"
"1081","230","230","230"
"1115","270","270","270"
"1148","200","200","200"
"1180","300","300","300"
"1212","360","360","360"
"1268","460","460","460"
"1302","230","230","230"
"1336","270","270","270"
"1370","270","270","270"
"1404","150","150","150"
"1438","280","280","280"
"1472","150","150","150"
"1504","220","220","220"
"1520","230","230","230"
"1568","210","210","210"
"1584","220","220","220"
"1625","280","280","280"
"1659","180","180","180"
"1698","450","450","450"
"1727","240","240","240"
"1761","240","240","240"
"1795","120","120","120"
"1828","190","190","190"
"1860","250","250","250"
"1892","160","160","160"
"1924","210","210","210"
"1956","220","220","220"
"1999","620","620","620"
"2033","360","360","360"
"2067","170","170","170"
"2101","240","240","240"
"2135","250","250","250"
"2168","430","430","430"
"2200","220","220","220"
"2232","410","410","410"
"2264","210","210","210"
"2296","550","550","550"
"2328","300","300","300"
"2360","280","280","280"
"2390","190","190","190"
"2424","180","180","180"
"2458","300","300","300"
"2496","570","570","570"
"2524","220","220","220"
"2556","260","260","260"
"2572","340","340","340"
"2618","260","260","260"
"2652","570","570","570"
"2684","230","230","230"
"2716","240","240","240"
"2764","280","280","280"
"2798","190","190","190"
"2832","300","300","300"
"2864","290","290","290"
"2896","210","210","210"
"2928","360","360","360"
"2960","350","350","350"
"2989","220","220","220"
"3024","200","200","200"
"3056","280","280","280"
"3104","670","670","670"
"3155","350","350","350"
"3188","340","340","340"
"3236","650","650","650"
"3268","370","370","370"
"3300","240","240","240"
"3332","310","310","310"
"3364","570","570","570"
"3412","320","320","320"
"3436","520","520","520"
"3495","560","560","560"
"3528","660","660","660"
"3576","420","420","420"
"3592","420","420","420"
"3640","520","520","520"
"3672","490","490","490"
"3696","300","300","300"
"3722","400","400","400"
"3752","240","240","240"
"3768","210","210","210"
"3800","220","220","220"
"3849","440","440","440"
"3865","430","430","430"
"3897","320","320","320"
"3929","540","540","540"
"3947","490","490","490"
"3977","210","210","210"
"4009","290","290","290"
"4041","470","470","470"
"4057","210","210","210"
"4097","410","410","410"
"4158","390","390","390"
"4208","520","520","520"
"4240","700","700","700"
"4288","480","480","480"
"4304","500","500","500"
"4336","360","360","360"
"4368","310","310","310"
"4400","400","400","400"
"4432","360","360","360"
"4464","460","460","460"
"4515","340","340","340"
"4548","410","410","410"
