episode_rewards,episode_lengths
200.0,377
90.0,393
230.0,417
310.0,573
200.0,413
370.0,637
290.0,495
100.0,465
170.0,491
150.0,483
190.0,553
240.0,499
200.0,487
210.0,373
240.0,559
300.0,525
160.0,391
240.0,473
220.0,493
290.0,505
250.0,581
290.0,537
250.0,539
230.0,497
230.0,441
280.0,471
190.0,439
270.0,437
280.0,457
220.0,471
280.0,569
630.0,661
230.0,475
260.0,513
210.0,543
290.0,491
310.0,543
400.0,867
330.0,517
170.0,467
230.0,463
200.0,403
360.0,535
610.0,723
260.0,525
280.0,541
550.0,685
430.0,669
500.0,667
330.0,479
170.0,431
180.0,433
530.0,729
380.0,525
330.0,493
240.0,393
610.0,717
690.0,901
160.0,503
320.0,477
490.0,727
180.0,383
560.0,713
290.0,435
530.0,701
170.0,465
470.0,649
200.0,417
560.0,629
390.0,771
530.0,679
280.0,511
480.0,581
1050.0,807
940.0,765
220.0,499
220.0,557
440.0,579
360.0,727
930.0,717
920.0,701
810.0,695
990.0,699
360.0,501
260.0,517
570.0,597
550.0,799
330.0,795
270.0,437
750.0,661
250.0,491
280.0,503
160.0,519
320.0,619
680.0,793
330.0,553
1040.0,647
540.0,693
400.0,563
500.0,707
590.0,797
600.0,701
210.0,487
240.0,563
360.0,601
150.0,385
650.0,717
640.0,761
960.0,645
210.0,461
500.0,725
270.0,533
310.0,433
370.0,1119
250.0,515
320.0,629
260.0,517
290.0,537
290.0,803
230.0,535
930.0,669
370.0,611
230.0,493
260.0,547
400.0,573
440.0,741
250.0,523
540.0,683
200.0,467
520.0,693
290.0,503
470.0,691
190.0,479
150.0,497
230.0,521
470.0,729
1300.0,939
1140.0,679
240.0,499
270.0,365
590.0,655
1060.0,741
260.0,393
360.0,781
310.0,621
590.0,735
590.0,789
290.0,715
270.0,507
550.0,695
320.0,549
290.0,517
250.0,491
860.0,625
280.0,531
620.0,1131
180.0,551
1000.0,883
430.0,751
340.0,597
260.0,477
500.0,703
280.0,521
220.0,483
320.0,431
620.0,885
210.0,471
530.0,733
380.0,845
570.0,655
640.0,607
260.0,479
200.0,519
450.0,637
480.0,801
280.0,433
270.0,551
360.0,741
400.0,513
960.0,641
320.0,425
280.0,545
540.0,723
380.0,805
510.0,571
540.0,657
170.0,417
200.0,425
170.0,461
460.0,729
600.0,769
580.0,685
750.0,805
310.0,465
470.0,585
190.0,395
970.0,707
1270.0,863
510.0,561
650.0,821
540.0,539
290.0,547
340.0,579
320.0,627
300.0,519
290.0,435
220.0,425
240.0,627
200.0,469
250.0,535
1150.0,757
470.0,687
460.0,529
270.0,509
200.0,413
300.0,677
120.0,319
290.0,517
350.0,543
630.0,659
580.0,637
320.0,729
610.0,749
830.0,783
230.0,549
170.0,353
280.0,585
650.0,639
300.0,611
710.0,741
300.0,501
440.0,661
1240.0,769
330.0,559
500.0,761
390.0,565
370.0,563
1080.0,791
200.0,511
390.0,601
710.0,629
420.0,667
330.0,551
1370.0,881
230.0,449
1010.0,651
320.0,657
600.0,693
330.0,437
570.0,843
990.0,629
330.0,599
370.0,511
400.0,689
320.0,833
560.0,673
380.0,621
280.0,519
400.0,647
550.0,643
350.0,515
570.0,601
980.0,707
700.0,695
110.0,329
430.0,613
210.0,455
270.0,477
510.0,505
670.0,831
590.0,733
290.0,507
1150.0,787
450.0,913
300.0,571
160.0,423
370.0,723
370.0,497
320.0,467
520.0,837
500.0,631
120.0,397
390.0,683
710.0,703
570.0,817
570.0,743
600.0,635
340.0,771
280.0,585
140.0,301
530.0,601
590.0,753
330.0,637
330.0,481
560.0,573
570.0,643
210.0,465
350.0,547
660.0,707
310.0,643
650.0,603
520.0,625
780.0,773
950.0,573
980.0,1071
320.0,615
420.0,473
250.0,481
250.0,541
400.0,665
610.0,699
540.0,623
650.0,615
320.0,719
600.0,703
420.0,523
360.0,593
460.0,625
1680.0,731
440.0,833
380.0,641
570.0,693
390.0,575
800.0,669
570.0,607
580.0,787
700.0,713
250.0,453
440.0,601
610.0,691
590.0,687
1070.0,541
200.0,403
440.0,615
580.0,637
1820.0,661
620.0,561
300.0,673
910.0,617
310.0,629
770.0,857
1060.0,689
350.0,549
330.0,557
220.0,463
270.0,457
630.0,741
760.0,733
390.0,539
580.0,621
330.0,553
340.0,411
1500.0,833
430.0,531
1190.0,783
220.0,439
1190.0,799
570.0,705
260.0,475
370.0,629
210.0,641
390.0,589
150.0,473
460.0,521
400.0,529
560.0,679
720.0,1067
440.0,603
270.0,495
960.0,653
550.0,633
500.0,677
1010.0,679
290.0,701
400.0,573
160.0,475
520.0,533
590.0,631
250.0,519
350.0,539
910.0,647
510.0,921
200.0,473
1870.0,723
680.0,743
580.0,667
300.0,447
260.0,503
710.0,997
1020.0,759
1030.0,693
670.0,685
270.0,525
220.0,513
450.0,645
360.0,747
380.0,527
520.0,533
240.0,559
890.0,649
980.0,775
230.0,399
1110.0,811
540.0,685
500.0,565
640.0,743
330.0,617
540.0,729
570.0,631
940.0,631
390.0,605
230.0,513
360.0,423
700.0,693
230.0,517
200.0,549
960.0,719
460.0,559
280.0,571
1290.0,721
550.0,709
620.0,797
220.0,451
260.0,369
1830.0,713
380.0,905
620.0,741
570.0,713
720.0,671
670.0,677
420.0,653
710.0,927
620.0,749
390.0,539
490.0,729
890.0,881
920.0,527
240.0,419
190.0,543
550.0,691
230.0,391
430.0,533
610.0,707
420.0,657
480.0,631
290.0,369
1150.0,845
450.0,545
680.0,673
540.0,831
580.0,667
470.0,617
290.0,549
390.0,737
280.0,651
370.0,587
300.0,415
430.0,475
510.0,657
220.0,509
1080.0,717
510.0,579
700.0,945
1020.0,769
330.0,523
310.0,459
630.0,683
540.0,675
780.0,711
280.0,469
310.0,423
390.0,597
340.0,537
650.0,905
490.0,791
1270.0,789
630.0,625
230.0,533
280.0,485
910.0,625
280.0,523
230.0,381
890.0,593
220.0,475
580.0,671
1110.0,755
520.0,759
380.0,565
1740.0,595
540.0,581
550.0,621
1330.0,827
370.0,575
580.0,733
690.0,675
650.0,701
350.0,615
980.0,811
440.0,649
240.0,537
540.0,613
240.0,491
1070.0,801
710.0,733
370.0,541
610.0,601
740.0,723
350.0,659
500.0,529
710.0,729
350.0,533
380.0,631
780.0,949
630.0,673
270.0,415
560.0,623
610.0,721
350.0,659
390.0,525
1080.0,697
550.0,645
360.0,429
350.0,523
290.0,527
480.0,703
510.0,545
320.0,443
550.0,641
450.0,633
340.0,603
640.0,789
520.0,523
380.0,541
500.0,517
1070.0,1013
1020.0,607
480.0,641
510.0,601
220.0,479
280.0,473
340.0,431
460.0,551
290.0,519
990.0,583
240.0,415
520.0,529
330.0,543
610.0,719
300.0,525
340.0,509
860.0,663
230.0,421
690.0,757
440.0,437
400.0,817
360.0,589
310.0,487
440.0,567
390.0,577
660.0,631
320.0,499
310.0,511
260.0,407
860.0,781
320.0,557
340.0,497
340.0,625
270.0,551
1390.0,1049
770.0,727
560.0,577
990.0,865
360.0,525
240.0,415
350.0,533
870.0,759
580.0,707
640.0,633
390.0,593
1020.0,693
710.0,783
290.0,393
280.0,461
420.0,801
520.0,619
640.0,611
160.0,521
280.0,549
980.0,833
750.0,839
570.0,689
640.0,655
350.0,557
350.0,693
350.0,445
270.0,509
340.0,439
360.0,657
990.0,623
1060.0,731
280.0,517
330.0,529
260.0,389
820.0,797
480.0,587
500.0,609
560.0,695
1110.0,971
290.0,493
700.0,661
1360.0,731
340.0,565
750.0,639
1240.0,953
490.0,647
250.0,381
360.0,567
510.0,807
1920.0,739
1240.0,795
220.0,485
340.0,421
580.0,659
410.0,587
180.0,387
660.0,683
350.0,539
460.0,633
1000.0,783
1800.0,681
860.0,701
300.0,581
1390.0,1095
270.0,431
360.0,505
490.0,661
380.0,637
210.0,415
760.0,681
420.0,625
950.0,621
520.0,703
440.0,905
640.0,959
440.0,491
310.0,575
510.0,581
630.0,625
420.0,523
1050.0,937
610.0,589
890.0,559
730.0,719
560.0,587
260.0,567
380.0,461
270.0,517
1710.0,935
440.0,679
220.0,389
1110.0,713
310.0,499
670.0,865
410.0,657
590.0,609
430.0,627
280.0,501
390.0,543
290.0,525
750.0,881
180.0,483
1900.0,881
530.0,523
230.0,415
850.0,715
670.0,831
720.0,707
320.0,531
750.0,799
480.0,579
1330.0,891
1040.0,781
480.0,675
360.0,563
440.0,619
320.0,537
660.0,649
340.0,633
580.0,511
820.0,805
490.0,795
690.0,797
270.0,495
650.0,699
430.0,557
300.0,531
360.0,541
550.0,631
1860.0,909
450.0,603
370.0,495
240.0,501
630.0,655
290.0,527
1000.0,891
410.0,615
850.0,727
480.0,587
1900.0,729
900.0,815
370.0,491
240.0,461
1310.0,751
260.0,519
420.0,631
940.0,743
300.0,435
610.0,647
320.0,575
810.0,871
690.0,659
510.0,539
500.0,663
930.0,805
